name,strength,form,route,generic,type,rxcui,schedule
Dexycu,103.4 mg/ml,Injection,Injectable,DEXYCU 9 % in 0.005 ML Intraocular Injection,prescription,2045409,0
Eylea,40 mg/ml,Injection,Injectable,EYLEA 2 MG in 0.05 ML Injection,prescription,1232159,0
Eylea,40 mg/ml,Prefilled Syringe,Injectable,EYLEA 2 MG in 0.05 ML Prefilled Syringe,prescription,2693567,0
Pavblu,40 mg/ml,Injection,Injectable,PAVBLU 2 MG in 0.05 ML Injection,prescription,2696274,0
Pavblu,40 mg/ml,Prefilled Syringe,Injectable,PAVBLU 2 MG in 0.05 ML Prefilled Syringe,prescription,2696267,0
Beovu,120 mg/ml,Injection,Injectable,Beovu 6 MG in 0.05 ML Injection,prescription,2204925,
Beovu,120 mg/ml,Prefilled Syringe,Injectable,Beovu 6 MG in 0.05 ML Prefilled Syringe,prescription,2602279,0
Vabysmo,120 mg/ml,Injection,Injectable,Vabysmo 6 MG in 0.05 ML Injection,prescription,2591594,0
Vabysmo,120 mg/ml,Prefilled Syringe,Injectable,Vabysmo 6 MG in 0.05 ML Prefilled Syringe,prescription,2692688,0
Lucentis,10 mg/ml,Injection,Injectable,LUCENTIS 0.5 MG in 0.05 ML Injection,prescription,644301,
Lucentis,10 mg/ml,Prefilled Syringe,Injectable,Lucentis 0.5 MG in 0.05 ML Prefilled Syringe,prescription,1864425,0
Lucentis,6 mg/ml,Injection,Injectable,LUCENTIS 0.3 MG in 0.05 ML Injection,prescription,1306076,
Lucentis,6 mg/ml,Prefilled Syringe,Injectable,Lucentis 0.3 MG in 0.05 ML Prefilled Syringe,prescription,2045502,0
Cimerli,10 mg/ml,Injection,Injectable,CIMERLI 0.5 MG in 0.05 ML Injection,prescription,2612687,0
Cimerli,6 mg/ml,Injection,Injectable,CIMERLI 0.3 MG in 0.05 ML Injection,prescription,2612681,0
Byooviz,10 mg/ml,Injection,Injectable,Byooviz 0.5 MG in 0.05 ML Injection,prescription,2602359,0
Eylea,114 mg/ml,Injection,Injectable,EYLEA HD 8 MG in 0.07 ML Injection,prescription,2645308,0
Humira,100 mg/ml,Prefilled Syringe,Injectable,Humira 10 MG in 0.1 ML Prefilled Syringe,prescription,1921010,0
Hyrimoz,100 mg/ml,Prefilled Syringe,Injectable,Hyrimoz 10 MG in 0.1 ML Prefilled Syringe,prescription,2641650,0
Izervay,20 mg/ml,Injection,Injectable,izervay 2 MG in 0.1 ML Injection,prescription,2645118,0
Gvoke,5 mg/ml,Auto-Injector,Injectable,Gvoke HypoPen 0.5 MG in 0.1 mL Auto-Injector,prescription,2199304,0
Gvoke,5 mg/ml,Prefilled Syringe,Injectable,Gvoke PFS 0.5 MG in 0.1 mL Pre-Filled Syringe,prescription,2199312,0
Syfovre,150 mg/ml,Injection,Injectable,SYFOVRE 15 MG in 0.1 ML Injection,prescription,2630853,0
Susvimo,100 mg/ml,Injection,Injectable,Susvimo 10 MG in 0.1 ML Injection,prescription,2584863,0
Uzedy,357 mg/ml,Prefilled Syringe,Injectable,UZEDY 50 MG in 0.14 ML Prefilled Syringe,prescription,2636050,0
Rasuvo,50 mg/ml,Auto-Injector,Injectable,Rasuvo 7.5 MG in 0.15 ML Auto-Injector,prescription,1544404,0
Brixadi,50 mg/ml,Prefilled Syringe,Injectable,Brixadi 8 MG in 0.16 ML Weekly Extended Release Prefilled Syringe,prescription,2639027,3
Brixadi,356 mg/ml,Prefilled Syringe,Injectable,Brixadi 64 MG in 0.18 ML Monthly Extended Release Prefilled Syringe,prescription,2639039,3
Humira,100 mg/ml,Prefilled Syringe,Injectable,Humira 20 MG in 0.2 ML Prefilled Syringe,prescription,1921017,0
Yuflyma,100 mg/ml,Prefilled Syringe,Injectable,Yuflyma 20 MG in 0.2 ML Prefilled Syringe,prescription,2668484,0
Hyrimoz,100 mg/ml,Prefilled Syringe,Injectable,Hyrimoz 20 MG in 0.2 ML Prefilled Syringe,prescription,2641654,0
Cyltezo,50 mg/ml,Prefilled Syringe,Injectable,CYLTEZO 10 MG in 0.2 ML Prefilled Syringe,prescription,2640892,0
Amjevita,100 mg/ml,Prefilled Syringe,Injectable,AMJEVITA 20 MG in 0.2 ML Prefilled Syringe,prescription,2663904,0
Amjevita,50 mg/ml,Prefilled Syringe,Injectable,AMJEVITA 10 MG in 0.2 ML Prefilled Syringe,prescription,2634479,0
Simlandi,100 mg/ml,Prefilled Syringe,Injectable,Simlandi 20 MG in 0.2 ML Prefilled Syringe,prescription,2688823,
Fragmin,"12,500 unt/ml",Prefilled Syringe,Injectable,Fragmin 2500 UNT in 0.2 ML Prefilled Syringe,prescription,978727,0
Fragmin,"25,000 unt/ml",Prefilled Syringe,Injectable,Fragmin 5000 UNT in 0.2 ML Prefilled Syringe,prescription,978735,0
Gvoke,5 mg/ml,Auto-Injector,Injectable,Gvoke HypoPen 1 MG in 0.2 mL Auto-Injector,prescription,2199308,0
Gvoke,5 mg/ml,Injection,Injectable,Gvoke 1 MG in 0.2 ML Injection,prescription,2587361,0
Gvoke,5 mg/ml,Prefilled Syringe,Injectable,Gvoke PFS 1 MG in 0.2 mL Pre-Filled Syringe,prescription,2199316,0
Rebif,44 mcg/ml,Auto-Injector,Injectable,Rebif 8.8 MCG in 0.2 ML Auto-Injector,prescription,1650012,
Rebif,44 mcg/ml,Prefilled Syringe,Injectable,Rebif 8.8 MCG in 0.2 ML Prefilled Syringe,prescription,795748,
Somatuline,300 mg/ml,Prefilled Syringe,Injectable,Somatuline Depot 60 MG in 0.2 ML Prefilled Syringe,prescription,749813,0
Rasuvo,50 mg/ml,Auto-Injector,Injectable,Rasuvo 10 MG in 0.2 ML Auto-Injector,prescription,1544383,0
Uzedy,357 mg/ml,Prefilled Syringe,Injectable,UZEDY 75 MG in 0.21 ML Prefilled Syringe,prescription,2636052,0
Ozempic,1.34 mg/ml,Pen Injector,Injectable,"OZEMPIC 2 MG in 1.5 ML Pen Injector, 0.25 or 0.5 MG Dose",prescription,1991311,0
Ozempic,0.68 mg/ml,Pen Injector,Injectable,"OZEMPIC 2 MG in 3 ML Pen Injector, 0.25 or 0.5 MG Dose",prescription,2619154,0
